algorithm,noise,cr
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,2,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.02
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.01
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.02
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,4,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.04
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.01
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,6,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
Discrete Bayesian,8,1.0
