config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
Medium Uncertainty (σ/μ=0.33),300,80,Variance Error,0.7,0.16996841564642243,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,259,301,-42,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Variance Error,1.5,0.18097416977891262,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Variance Error,2.5,0.3580221934675232,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Variance Error,4.0,0.46853654446266074,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Poor Model,0.2,0.11447170851652837,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Poor Model,0.4,0.22894341703305676,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Poor Model,0.6,0.3434151255495851,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Poor Model,0.8,0.4578868340661135,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,-0.5,0.5722534270580772,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,194,201,-7,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,-0.3,0.3707188705090395,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,-0.1,0.12862729448077426,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,0.1,0.1289278365192098,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,0.3,0.3739143670774694,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Mean Error,0.5,0.5833789693114331,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,0.3,0.5215938918101936,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,0.5,0.32248060249813326,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,0.7,0.17048346319642052,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,1.5,0.18486055900303192,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,2.5,0.3663652499604529,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Variance Error,4.0,0.47458484051346717,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Poor Model,0.2,0.11433408218395018,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Poor Model,0.4,0.22866816436790038,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Poor Model,0.6,0.3430022465518506,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
Low Uncertainty (σ/μ=0.31),200,60,Poor Model,0.8,0.4573363287358008,1.1783099999999997,0.2231857038861926,1.6333333333333333,1.8833333333333333,0.1013,0.0027,201,201,0,64.9566,64.9566,0.0,0.0
