config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ≈0.42),500,180,Variance Error,2.5,0.33472809438811535,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,180,Variance Error,4.0,0.4539802533654492,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,180,Poor Model,0.2,0.11575493869352964,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,180,Poor Model,0.4,0.23150987738705933,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,180,Poor Model,0.6,0.347264816080589,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,180,Poor Model,0.8,0.46301975477411866,1.0155100000000001,0.057770904021305115,1.1222222222222222,1.3,0.0014,0.0,501,501,0,121.8346,121.8346,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,-0.5,0.5315476245116718,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,285,301,-16,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,-0.3,0.3421073363244973,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,-0.1,0.11842917296950967,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,0.1,0.11889947288789499,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,0.3,0.3468735564489865,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Mean Error,0.5,0.5464456558609536,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Variance Error,0.3,0.5213386600879211,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,120,Variance Error,0.5,0.3220042761854811,1.0210591666666666,0.06582494936092285,1.1666666666666667,1.325,0.0015,0.0,301,301,0,89.9354,89.9354,0.0,0.0
