scenario_type,parameter,tv_distance,mean_cr,median_cr,std_cr,percentile_95,percentile_99,max_cr,failure_rate,expected_regret,t_star,se
Mean Shift,-0.8,0.7888080941600448,1.6874033333333334,1.6666666666666667,0.4574607766095511,2.466666666666667,2.8666666666666667,3.5,0.2405,20.6221,130,0.004574607766095511
Mean Shift,-0.7000000000000001,0.7343532139475586,1.69012,1.6666666666666667,0.46391272693571617,2.5,2.8333333333333335,3.6,0.2449,20.7036,136,0.004639127269357161
Mean Shift,-0.6000000000000001,0.6667708953030136,1.6869299999999998,1.6666666666666667,0.46197735113623467,2.5,2.8666666666666667,3.466666666666667,0.2384,20.6079,142,0.004619773511362346
Mean Shift,-0.5,0.5849066435044762,1.6934200000000001,1.6666666666666667,0.4661382590306203,2.5,2.8666666666666667,3.6,0.2458,20.8026,145,0.004661382590306203
Mean Shift,-0.4,0.48911390095243984,1.6874433333333334,1.6666666666666667,0.46434518122029655,2.5,2.8333333333333335,3.5,0.2457,20.6233,152,0.004643451812202965
Mean Shift,-0.30000000000000004,0.3799833589399293,1.68625,1.6666666666666667,0.46411221076490194,2.5,2.8333333333333335,3.966666666666667,0.2367,20.5875,157,0.004641122107649019
Mean Shift,-0.19999999999999996,0.2598092600259559,1.68904,1.6666666666666667,0.4650397284526865,2.5,2.8333333333333335,3.6,0.245,20.6712,162,0.004650397284526864
Mean Shift,-0.09999999999999998,0.13201241779909448,1.6838733333333333,1.6666666666666667,0.4598325392004375,2.466666666666667,2.8333333333333335,3.466666666666667,0.2344,20.5162,167,0.004598325392004375
Mean Shift,0.0,0.0,1.6866400000000001,1.6666666666666667,0.4595008911322584,2.5,2.8,3.6333333333333333,0.2408,20.5992,170,0.004595008911322584
Mean Shift,0.09999999999999998,0.1322616155758651,1.6768333333333336,1.6666666666666667,0.45642149605184656,2.466666666666667,2.8,3.5,0.2333,20.305,175,0.004564214960518466
Mean Shift,0.19999999999999996,0.2608743232058827,1.68688,1.6666666666666667,0.46150147172602274,2.466666666666667,2.8,3.7,0.2425,20.6064,182,0.0046150147172602275
Mean Shift,0.30000000000000004,0.38284714113738294,1.68477,1.6666666666666667,0.4617444352105398,2.466666666666667,2.8,3.6666666666666665,0.2459,20.5431,186,0.004617444352105398
Mean Shift,0.40000000000000013,0.49474170959774333,1.6859033333333333,1.6666666666666667,0.45873908746274034,2.466666666666667,2.8333333333333335,3.3666666666666667,0.24,20.5771,190,0.004587390874627404
Mean Shift,0.5,0.5953329205645467,1.6912933333333335,1.6666666666666667,0.4612513442464377,2.5,2.8666666666666667,3.7666666666666666,0.2464,20.7388,197,0.004612513442464377
Mean Shift,0.6000000000000001,0.6824375574023134,1.690186666666667,1.6666666666666667,0.46405352870232913,2.5,2.8333333333333335,3.5,0.2436,20.7056,201,0.004640535287023292
Mean Shift,0.7,0.7566836017641974,1.68438,1.6666666666666667,0.46014716272444683,2.5,2.8,3.7,0.2426,20.5314,201,0.004601471627244468
Mean Shift,0.8,0.8173741420021841,1.6873166666666668,1.6666666666666667,0.4616336922759887,2.5,2.8666666666666667,3.466666666666667,0.236,20.6195,201,0.004616336922759887
Variance Mismatch,0.3,0.5219268160171047,1.6872066666666665,1.6666666666666667,0.48062099557496657,2.466666666666667,2.8003333333333402,3.8666666666666667,0.2379,20.6162,87,0.004806209955749666
Variance Mismatch,0.5076923076923077,0.31594274438610687,1.6821400000000002,1.6666666666666667,0.454388600906093,2.466666666666667,2.8,3.6333333333333333,0.2351,20.4642,201,0.00454388600906093
Variance Mismatch,0.7153846153846154,0.16038479709012643,1.6918133333333332,1.6666666666666667,0.46034353488009305,2.466666666666667,2.8333333333333335,3.533333333333333,0.2458,20.7544,137,0.00460343534880093
Variance Mismatch,0.9230769230769231,0.0385305641205282,1.6825866666666665,1.6666666666666667,0.4598977347355211,2.466666666666667,2.7666666666666666,3.6,0.2385,20.4776,161,0.004598977347355211
Variance Mismatch,1.1307692307692307,0.05858909017274032,1.6867633333333332,1.6666666666666667,0.46206496290828974,2.5,2.8333333333333335,3.3666666666666667,0.2455,20.6029,186,0.004620649629082898
Variance Mismatch,1.3384615384615386,0.1362146572410167,1.6930966666666667,1.6666666666666667,0.46392932930210734,2.5,2.8003333333333402,3.5,0.2463,20.7929,201,0.004639293293021074
Variance Mismatch,1.5461538461538462,0.19844522762466948,1.6905833333333335,1.6666666666666667,0.45965144874602787,2.5,2.8333333333333335,3.533333333333333,0.2415,20.7175,201,0.004596514487460279
Variance Mismatch,1.753846153846154,0.24891575905998956,1.688373333333333,1.6666666666666667,0.4596577884511519,2.466666666666667,2.8333333333333335,3.933333333333333,0.2484,20.6512,201,0.004596577884511519
Variance Mismatch,1.9615384615384617,0.29046421392764527,1.6901866666666665,1.6666666666666667,0.4591713600370043,2.5,2.8333333333333335,3.466666666666667,0.242,20.7056,201,0.0045917136003700435
Variance Mismatch,2.169230769230769,0.3251358489452743,1.6932733333333334,1.6666666666666667,0.46202992833427875,2.5,2.8333333333333335,3.566666666666667,0.2453,20.7982,201,0.004620299283342787
Variance Mismatch,2.376923076923077,0.35494775878820223,1.6960366666666669,1.6666666666666667,0.4663603007019196,2.5,2.8666666666666667,3.566666666666667,0.2436,20.8811,201,0.004663603007019196
Variance Mismatch,2.5846153846153848,0.3806879320867134,1.6869600000000002,1.6666666666666667,0.45738531128222965,2.5,2.8333333333333335,3.4,0.2388,20.6088,201,0.004573853112822297
Variance Mismatch,2.792307692307692,0.4035614761509192,1.6974333333333336,1.6666666666666667,0.46411834880263103,2.5,2.8666666666666667,3.533333333333333,0.2503,20.923,201,0.0046411834880263104
Variance Mismatch,3.0,0.4236881848059586,1.6861833333333331,1.6666666666666667,0.4632741039008009,2.5,2.8333333333333335,3.3333333333333335,0.2409,20.5855,201,0.00463274103900801
